type,secteur,etage,surface habitable,surface totale,nbr chambre,nbr salleBain,salon,age de bien,prix
"appartements, à vendre",sidi moumen,4.0,65.0,65.0,2.0,1.0,1.0,10,420000.0
"appartements, à vendre",maarif,5.0,127.0,127.0,3.0,2.0,1.0,10,1750000.0
"appartements, à vendre",sidi moumen,4.0,65.0,65.0,2.0,1.0,1.0,10,420000.0
"appartements, à vendre",autre secteur,3.0,56.0,56.0,1.0,1.0,1.0,5,600000.0
"appartements, à vendre",aïn sebaâ,1.0,109.0,122.0,3.0,2.0,1.0,1,1070000.0
"appartements, à vendre",maarif,4.0,69.0,76.0,3.0,2.0,1.0,10,1254000.0
"appartements, à vendre",racine,3.0,250.0,250.0,5.0,3.0,3.0,15,3500000.0
"appartements, à vendre",quartier des hôpitaux,3.0,92.0,92.0,2.0,2.0,2.0,15,1104000.0
"appartements, à vendre",maarif,1.0,70.0,76.0,2.0,2.0,1.0,1,1330000.0
"appartements, à vendre",quartier des hôpitaux,1.0,181.0,181.0,3.0,3.0,2.0,10,2550000.0
"appartements, à vendre",oulfa,2.0,57.0,57.0,2.0,1.0,1.0,15,360000.0
"appartements, à vendre",oulfa,3.0,50.0,50.0,2.0,1.0,1.0,10,300000.0
"appartements, à vendre",centre ville,3.0,81.0,81.0,2.0,2.0,1.0,1,800000.0
"appartements, à vendre",maarif,3.0,104.0,118.0,3.0,2.0,1.0,1,1845000.0
"appartements, à vendre",roches noires,1.0,110.0,110.0,3.0,2.0,1.0,10,960000.0
"appartements, à vendre",sidi moumen,1.0,77.0,77.0,4.0,1.0,1.0,5,924000.0
"appartements, à vendre",triangle d'or,5.0,68.0,68.0,2.0,1.0,1.0,15,1580000.0
"appartements, à vendre",ben m'sick,1.0,47.0,47.0,1.0,1.0,1.0,1,370000.0
"appartements, à vendre",palmier,3.0,34.0,34.0,1.0,1.0,1.0,1,800000.0
"appartements, à vendre",la gironde,2.0,90.0,90.0,2.0,2.0,2.0,20,890000.0
"appartements, à vendre",aïn sebaâ,2.0,89.0,109.0,2.0,2.0,1.0,1,657000.0
"appartements, à vendre",centre ville,1.0,74.0,74.0,2.0,1.0,1.0,15,870000.0
"appartements, à vendre",oasis,2.0,66.0,69.0,2.0,2.0,1.0,1,1280000.0
"appartements, à vendre",californie,2.0,71.0,71.0,2.0,2.0,1.0,1,1060000.0
"appartements, à vendre",sbata,2.0,87.0,87.0,3.0,2.0,1.0,1,739000.0
"appartements, à vendre",aïn chock,2.0,85.0,88.0,2.0,2.0,2.0,1,1290000.0
"appartements, à vendre",oulfa,4.0,54.0,54.0,2.0,1.0,2.0,5,285000.0
"appartements, à vendre",sidi maarouf,1.0,70.0,70.0,2.0,1.0,1.0,15,480000.0
"appartements, à vendre",palmier,4.0,86.0,86.0,2.0,2.0,1.0,20,1180000.0
"appartements, à vendre",beauséjour,1.0,140.0,141.0,3.0,3.0,2.0,1,2170000.0
"appartements, à vendre",maarif,3.0,80.0,85.0,2.0,2.0,1.0,1,1495000.0
