type,secteur,etage,surface habitable,surface totale,nbr chambre,nbr salleBain,salon,age de bien,prix
"appartements, à vendre",beauséjour,4,119,None,3,2,1,None,1 950 000 DH
"appartements, à vendre",aïn chock,2,None,2,2,1,1,None,670 000 DH
"appartements, à vendre",sidi bernoussi,6,50,None,3,None,None,None,250 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",sidi bernoussi,4,64,None,2,None,None,neuf,8 500 DH
"appartements, à vendre",sidi bernoussi,rez de chaussée,49,100,3,None,None,neuf,7 200 DH
"appartements, à vendre",sidi moumen,4,65,65,2,1,1,6-10 ans,420 000 DH
"appartements, à vendre",oulfa,1,83,83,2,0,1,None,740 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",maarif,5,127,127,3,2,1,6-10 ans,1 750 000 DH
"appartements, à vendre",beauséjour,4,119,None,3,2,1,None,1 950 000 DH
"appartements, à vendre",aïn chock,2,None,2,2,1,1,None,670 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",sidi bernoussi,6,50,None,3,None,None,None,250 000 DH
"appartements, à vendre",sidi bernoussi,4,64,None,2,None,None,neuf,8 500 DH
"appartements, à vendre",sidi bernoussi,rez de chaussée,49,100,3,None,None,neuf,7 200 DH
"appartements, à vendre",sidi moumen,4,65,65,2,1,1,6-10 ans,420 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",oulfa,1,83,83,2,0,1,None,740 000 DH
"appartements, à vendre",autre secteur,3,56,56,1,1,1,1-5 ans,600 000 DH
"appartements, à vendre",aïn sebaâ,4,108,108,4,2,1,None,1 250 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",bourgogne,2,56,None,1,1,1,1-5 ans,1 250 000 DH
"appartements, à vendre",aïn sebaâ,1,109,122,3,2,1,neuf,1 070 000 DH
"appartements, à vendre",aïn chock,rez de chaussée,176,190,2,2,2,neuf,None
"appartements, à vendre",maarif,4,69,76,3,2,1,6-10 ans,1 254 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",racine,3,250,250,5,3,3,11-20 ans,3 500 000 DH
"appartements, à vendre",quartier des hôpitaux,3,92,92,2,2,2,11-20 ans,1 104 000 DH
"appartements, à vendre",maarif,1,70,76,2,2,1,neuf,1 330 000 DH
"appartements, à vendre",quartier des hôpitaux,1,181,181,3,3,2,6-10 ans,2 550 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",oulfa,2,57,57,2,1,1,11-20 ans,360 000 DH
"appartements, à vendre",oulfa,3,50,50,2,1,1,6-10 ans,300 000 DH
"appartements, à vendre",maarif,3,33,None,1,1,1,None,740 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",centre ville,3,81,81,2,2,1,neuf,800 000 DH
"appartements, à vendre",sidi bernoussi,3,111,111,3,2,1,None,1 050 000 DH
"appartements, à vendre",mers sultan,3,108,108,2,2,1,None,1 300 000 DH
"appartements, à vendre",centre ville,3,80,85,2,1,1,None,850 000 DH
"appartements, à vendre",maarif,3,104,118,3,2,1,neuf,1 845 000 DH
"appartements, à vendre",mers sultan,4,98,None,2,2,2,None,1 050 000 DH
"appartements, à vendre",quartier des hôpitaux,7+,108,128,2,2,1,None,1 250 000 DH
"appartements, à vendre",2 mars,4,145,145,3,2,2,None,1 500 000 DH
"appartements, à vendre",roches noires,1,110,110,3,2,1,6-10 ans,960 000 DH
"appartements, à vendre",sidi moumen,1,77,77,4,1,1,1-5 ans,924 000 DH
"appartements, à vendre",palmier,4,46,None,1,2,1,neuf,1 060 000 DH
"appartements, à vendre",triangle d'or,5,68,68,2,1,1,11-20 ans,1 580 000 DH
